DATE,PRICE,DIX,GEX,SKEW,PUTCALLRATIO,VIX
2012-10-05,1460.930054,0.3427001412174594,2276244806.57,123.85001,0.937,14.33
2012-10-08,1455.880005,0.3370642987741484,1914155683.126,122.06,0.849,15.11
2012-10-09,1441.47998,0.3372864221558455,1529584844.7579,121.21001,1.0,16.37
2012-10-10,1432.560059,0.3816494940688498,1585118597.933,120.46001,1.003,16.28999
2012-10-11,1432.839966,0.3652287251497246,1166712068.71,120.83,0.895,15.59
2012-10-12,1428.589966,0.3666318720808839,1366428443.0543,120.97,1.047,16.14
2012-10-15,1440.130005,0.4111809762291971,1799022345.4874,122.45,0.771,15.27
2012-10-16,1454.920044,0.4168794359704911,2792940189.3425,122.52,0.806,15.22
2012-10-17,1460.910034,0.4178185030051281,2882740927.8922,124.95,0.786,15.07
2012-10-18,1457.339966,0.3996415322309585,2166631598.3594,124.58,0.878,15.03
2012-10-19,1433.189941,0.403053872476053,-1220488012.9584,125.39,1.117,17.06
2012-10-22,1433.819946,0.3957406122008183,1365092476.62,122.99001,0.943,16.62
2012-10-23,1413.109985,0.4041099690377925,856531693.2434,120.16,1.058,18.83
2012-10-24,1408.75,0.3926156665950129,827957147.2866,119.33,0.906,18.33
2012-10-25,1412.969971,0.3907220665787037,887952897.582,120.89,0.845,18.12
2012-10-26,1411.939941,0.3973190705002103,869165396.35,119.31,0.996,17.81
2012-10-31,1412.160034,0.4000172209503589,787647145.9496,115.03999,0.856,18.60001
2012-11-01,1427.589966,0.3809857920020919,1278333550.7926,117.85001,0.948,16.69
2012-11-02,1414.199951,0.3883791879273012,745669691.5821,115.78,0.917,17.59
2012-11-05,1417.26001,0.3928690337243451,937015288.1214,115.52,0.813,18.42
2012-11-06,1428.390015,0.3898924728646431,1282215427.8178,116.34,0.96,17.58
2012-11-07,1394.530029,0.3919951727642098,-61573416.8004,116.10001,1.207,19.08
2012-11-08,1377.51001,0.3561329578341054,-640365600.9792,116.69,1.134,18.49001
2012-11-09,1379.849976,0.3824978137240453,-183459819.09,115.39999,1.164,18.61
2012-11-12,1380.030029,0.4149138351261552,-161566654.388,114.23,0.988,16.67999
2012-11-13,1374.530029,0.3896354519844041,-326649444.64,114.81,0.814,16.64999
2012-11-14,1355.48999,0.3954282635665974,-896279282.6408,113.23,1.13,17.92
2012-11-15,1353.329956,0.3663053336335665,-1064663260.4975,113.64999,1.238,17.99001
2012-11-16,1359.880005,0.3778382161997027,-902628346.3255,115.85001,1.032,16.41
2012-11-19,1386.890015,0.4430294883428196,833108848.463,113.46001,0.747,15.24
2012-11-20,1387.810059,0.4315247343796649,936082158.6651,117.25,1.102,15.08
2012-11-21,1391.030029,0.3995497627161835,1074233864.96,116.62,0.865,15.31
2012-11-23,1409.150024,0.4092769225868888,1285954948.762,117.82001,0.888,15.14
2012-11-26,1406.290039,0.4256498644249667,1489869808.622,116.96001,0.629,15.5
2012-11-27,1398.939941,0.415660896247559,1195461959.2076,116.64999,0.848,15.92
2012-11-28,1409.930054,0.3991012618648916,1458462713.58,116.12,0.834,15.51
2012-11-29,1415.949951,0.4192584832200906,1966128578.08,117.35001,1.01,15.06
2012-11-30,1416.180054,0.4051140813943067,1462041482.835,117.07001,1.167,15.87
2012-12-03,1409.459961,0.4229034650249005,1319254401.0254,115.98,0.817,16.64
2012-12-04,1407.050049,0.3816164364678642,987939253.4356,115.31,1.041,17.12
2012-12-05,1409.280029,0.3657337174751012,619549268.3389,114.55,0.862,16.46001
2012-12-06,1413.939941,0.3907344699934792,863020317.6577,115.74001,0.921,16.58
2012-12-07,1418.069946,0.401575057994228,999761409.5661,115.23,0.799,15.9
2012-12-10,1418.550049,0.3828505040898707,962073907.995,114.77,0.902,16.05
2012-12-11,1427.839966,0.3975933285077456,1410736639.0444,115.92,0.842,15.57
2012-12-12,1428.47998,0.3984006042479062,1379685819.5098,116.49001,0.886,15.95
2012-12-13,1419.449951,0.3877794992855783,898420939.0524,116.24001,0.845,16.56
2012-12-14,1413.579956,0.3667965517410235,757602274.7429,118.92,0.888,17.0
2012-12-17,1430.359985,0.3650823829499739,1349747636.855,118.06,0.708,16.34
2012-12-18,1446.790039,0.3995998332180936,2143409967.5644,117.86,0.855,15.57
2012-12-19,1435.810059,0.3980910489863246,1711681838.0661,120.75999,0.968,17.36
2012-12-20,1443.689941,0.3898091766469682,1798995792.8876,124.47,0.855,17.67
2012-12-21,1430.150024,0.3995905415610021,867379053.04,127.08,1.05,17.84
2012-12-24,1426.660034,0.375662080660895,874452741.698,124.47,0.971,17.84
2012-12-26,1419.829956,0.3661321488025353,589989445.0121,122.17999,0.962,19.48
2012-12-27,1418.099976,0.3829206211364086,648806625.42,119.60001,1.06,19.47
2012-12-28,1402.430054,0.3731800335725784,313374576.3739,118.38,1.094,22.72
2012-12-31,1426.189941,0.3676127022745774,1037372986.3011,121.27,1.024,18.02
2013-01-02,1462.420044,0.408387181334665,2271946220.0525,121.77,0.973,14.68
2013-01-03,1459.369995,0.4110842074068103,2115151899.1087,117.92999,0.839,14.56
2013-01-04,1466.469971,0.4008582895715291,1927021353.7524,115.53,0.822,13.83
2013-01-07,1461.890015,0.4210204552277279,1824539134.8105,116.78,0.891,13.79
2013-01-08,1457.150024,0.4264078219973581,1687059848.4134,118.14999,0.953,13.62
2013-01-09,1461.02002,0.4012991737914089,1692440459.245,117.89,0.854,13.81
2013-01-10,1472.119995,0.4065218933999913,2165222550.12,118.53,0.785,13.49
2013-01-11,1472.050049,0.4069550067425699,2151586354.54,119.14,0.725,13.36
2013-01-14,1470.680054,0.3964071866400664,1948029763.487,117.19,0.828,13.52
2013-01-15,1472.339966,0.3774535601508126,1915405614.555,120.89999,1.033,13.55
2013-01-16,1472.630005,0.4004688155767959,2252665998.85,120.13,0.873,13.42
2013-01-17,1480.939941,0.405456102505899,2797809460.215,120.53,0.787,13.57
2013-01-18,1485.97998,0.4201863915667124,6626065505.444,124.78999,0.745,12.46
2013-01-22,1492.560059,0.4048378283907731,1401035800.382,126.73,0.946,12.43
2013-01-23,1494.810059,0.3996546110459621,1660669630.66,126.58,0.893,12.46
2013-01-24,1494.819946,0.37045800568782,1217452162.2,125.47,0.877,12.69
2013-01-25,1502.959961,0.3871151238757,1416846844.961,124.71001,0.876,12.89
2013-01-28,1500.180054,0.3840030174708665,1414172220.54,122.95,0.969,13.57
2013-01-29,1507.839966,0.4209413885452501,1650243398.925,123.95,0.966,13.31
2013-01-30,1501.959961,0.4164757160038982,1556969383.32,121.92,0.947,14.32
2013-01-31,1498.109985,0.4059919650971729,1367683606.355,121.64,0.91,14.28
2013-02-01,1513.170044,0.402749967726002,1695589832.7,122.55,0.898,12.9
2013-02-04,1495.709961,0.4074716451985316,1254710705.61,122.60001,1.104,14.67
2013-02-05,1511.290039,0.4069973447996018,1926419295.0078,123.22,0.947,13.72
2013-02-06,1512.119995,0.4291587915138309,1949501493.48,122.45,0.975,13.41
2013-02-07,1509.390015,0.4238401041966682,1949395995.317,125.35001,1.029,13.5
2013-02-08,1517.930054,0.4239943818899402,2096700652.29,125.67,0.904,13.02
2013-02-11,1517.01001,0.4144648520589344,2184319610.1,125.53,1.076,12.94
